t,x,v
0.81,0.0305864,-1.11818
0.811,0.0294648,-1.12164
0.812,0.0283397,-1.12507
0.813,0.0272112,-1.12848
0.814,0.0260794,-1.13186
0.815,0.0249442,-1.13521
0.816,0.0238056,-1.13853
0.817,0.0226638,-1.14182
0.818,0.0215187,-1.14508
0.819,0.0203704,-1.14832
0.82,0.0192189,-1.15152
0.821,0.0180642,-1.1547
0.822,0.0169063,-1.15785
0.823,0.0157454,-1.16096
0.824,0.0145813,-1.16405
0.825,0.0134142,-1.16711
0.826,0.0122441,-1.17014
0.827,0.0110709,-1.17313
0.828,0.00989484,-1.1761
0.829,0.00871581,-1.17904
0.83,0.00753387,-1.18194
0.831,0.00634905,-1.18481
0.832,0.00516139,-1.18766
0.833,0.00397093,-1.19047
0.834,0.00277768,-1.19325
0.835,0.00158168,-1.196
0.836,0.000382963,-1.19871
0.837,-0.000818436,-1.2014
0.838,-0.00202249,-1.20405
0.839,-0.00322916,-1.20667
0.84,-0.00443842,-1.20926
0.841,-0.00565024,-1.21182
0.842,-0.00686458,-1.21434
0.843,-0.00808141,-1.21683
0.844,-0.0093007,-1.21929
0.845,-0.0105224,-1.22171
0.846,-0.0117465,-1.2241
0.847,-0.012973,-1.22646
0.848,-0.0142018,-1.22878
0.849,-0.0154328,-1.23107
0.85,-0.0166662,-1.23333
0.851,-0.0179017,-1.23555
0.852,-0.0191395,-1.23774
0.853,-0.0203794,-1.23989
0.854,-0.0216214,-1.24201
0.855,-0.0228655,-1.2441
0.856,-0.0241116,-1.24615
0.857,-0.0253598,-1.24816
0.858,-0.0266099,-1.25014
0.859,-0.027862,-1.25209
0.86,-0.029116,-1.254
0.861,-0.0303719,-1.25587
0.862,-0.0316296,-1.25771
0.863,-0.0328891,-1.25951
0.864,-0.0341504,-1.26128
0.865,-0.0354134,-1.26301
0.866,-0.0366781,-1.26471
0.867,-0.0379445,-1.26637
0.868,-0.0392125,-1.26799
0.869,-0.0404821,-1.26958
0.87,-0.0417532,-1.27113
0.871,-0.0430258,-1.27264
0.872,-0.0442999,-1.27412
0.873,-0.0455755,-1.27556
0.874,-0.0468525,-1.27696
0.875,-0.0481308,-1.27832
0.876,-0.0494104,-1.27965
0.877,-0.0506914,-1.28094
0.878,-0.0519736,-1.2822
0.879,-0.053257,-1.28341
0.88,-0.0545416,-1.28459
0.881,-0.0558273,-1.28573
0.882,-0.0571141,-1.28683
0.883,-0.058402,-1.28789
0.884,-0.0596909,-1.28892
0.885,-0.0609809,-1.28991
0.886,-0.0622717,-1.29086
0.887,-0.0635635,-1.29177
0.888,-0.0648561,-1.29264
0.889,-0.0661496,-1.29347
0.89,-0.0674439,-1.29427
0.891,-0.0687389,-1.29502
0.892,-0.0700346,-1.29574
0.893,-0.071331,-1.29642
0.894,-0.0726281,-1.29705
0.895,-0.0739257,-1.29765
0.896,-0.0752239,-1.29821
0.897,-0.0765227,-1.29873
0.898,-0.0778219,-1.29921
0.899,-0.0791215,-1.29965
0.9,-0.0804216,-1.30005
0.901,-0.081722,-1.30041
0.902,-0.0830227,-1.30074
0.903,-0.0843238,-1.30102
0.904,-0.085625,-1.30126
0.905,-0.0869265,-1.30146
0.906,-0.0882281,-1.30162
0.907,-0.0895298,-1.30174
0.908,-0.0908317,-1.30182
0.909,-0.0921335,-1.30186
0.91,-0.0934354,-1.30186
0.911,-0.0947372,-1.30181
0.912,-0.0960389,-1.30173
0.913,-0.0973405,-1.30161
0.914,-0.098642,-1.30144
0.915,-0.0999432,-1.30124
